0 0,42105219430494145
10 0,37985832342416687
20 0,3618452989809265
30 0,3432375998212049
40 0,32096141133682843
50 0,29308717827104697
60 0,25889722428905027
70 0,22715969493963073
80 0,19597215195114615
90 0,16305637205935342
100 0,13994140902212096
110 0,11549447811458045
120 0,09507415538347361
130 0,08255189936741868
140 0,07043161446220958
150 0,06124097302447686
160 0,053230482756711855
170 0,047469408806008744
180 0,042767781687269114
190 0,03815858621417639
200 0,034475081990738426
210 0,031764619340264234
220 0,0290011788539331
230 0,02702642973531119
240 0,02487912125404807
250 0,02308984425615644
260 0,02147423529630854
270 0,020176321611005375
280 0,019002838921913373
290 0,017904973269940675
300 0,016876816618641665
310 0,01604552214766821
320 0,015206659049242986
330 0,014464857904696437
340 0,013799121160860003
350 0,013182167626632973
360 0,012614095926814922
370 0,012103570903871761
380 0,011605365405839778
390 0,011133335799906795
400 0,010737180731127229
410 0,010334785820172752
